wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk,"[0.92605567, 0.71424621, 0.77950388, 0.271247, 0.42984721, 0.68553543, 0.92129767, 0.71080643, 0.73208487, 1.1430058, 0.58483124, 0.81219733, 0.8220492, 0.73225671, 0.81600249, 0.83575684]"
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk,"[0.93685031, 1.1174163, 0.83547926, 0.78607178, 0.40332443, 0.94041747, 1.0331931, 0.91308194, 0.63107127, 0.33528876, 0.34728745, 0.75665087, 1.0165683, 0.97871321, 0.94610095, 0.92558831]"
wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk,"[0.92192703, 0.86990845, 0.84275603, 0.74961275, 0.99867231, 0.90472406, 0.90196526, 0.24973767, 1.1296074, 0.35423696, 0.31876543, 0.90977895, 0.91839796, 0.93611735, 1.0122801, 0.86802977]"
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,"[1.0477988, 0.37939709, 0.83426362, 0.58935869, 0.4403381, 0.80769747, 0.86663437, 0.85827261, 0.83918571, 0.82344681, 0.77842444, 0.76760054, 0.8989476, 1.0695864, 0.83020431, 0.84761018]"
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk,"[0.79406565, 0.82201529, 0.66191292, 0.8382889, 0.7680375, 0.76013255, 0.68015885, 0.67276329, 0.88357109, 0.88282126, 0.7799809, 0.81553805, 0.84038544, 1.114383, 0.85360646, 0.70728797]"
wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk,"[0.83361876, 0.78421748, 0.89011359, 1.0575689, 0.87430418, 0.93543869, 0.90635461, 0.86782372, 0.98223281, 1.0307149, 0.9283433, 0.79845256, 0.30192649, 0.88960344, 1.0364004, 0.37401021]"
wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk,"[0.75827771, 0.60610813, 0.82691115, 0.81747407, 0.77434105, 0.88271898, 0.85792071, 0.95679522, 0.81582177, 0.69147491, 0.85804266, 0.38493684, 0.87288612, 0.83334875, 0.88597918, 0.97648317]"
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk,"[0.91157514, 0.59656751, 0.95440173, 0.91170502, 0.85070306, 0.75663966, 0.79793394, 0.40050071, 1.055989, 0.73614001, 0.87673169, 0.91659957, 0.80670166, 0.76687217, 0.71767062, 0.80288911]"
wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk,"[0.94491267, 0.91554886, 0.88615334, 0.58591628, 0.8284359, 0.74737871, 0.84387207, 0.57319844, 0.85229927, 0.85471988, 0.6280548, 0.78044653, 0.80452353, 0.91716146, 0.73661315, 0.69294602]"
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk,"[0.29991686, 1.1696016, 0.78180832, 0.81093907, 0.43723696, 0.81882632, 1.0141407, 1.1748768, 0.897331, 0.94126511, 1.013551, 0.33135772, 1.0713, 1.0421449, 1.0428265, 1.1030618]"
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk,"[0.93960643, 0.86343986, 1.0271258, 0.97070575, 1.1361445, 1.1795933, 1.1061386, 1.0964975, 0.93114096, 1.1379194, 0.36374122, 1.1813796, 0.90153664, 0.48642474, 0.90843636, 1.0293546]"
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk,"[0.81877673, 0.95165098, 0.96676332, 1.0615786, 0.28531316, 1.1427056, 0.26477459, 0.97499168, 1.0014806, 0.92419213, 1.1704233, 1.0842401, 0.91821915, 0.98938721, 1.0497103, 0.79721498]"
