wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk,"[1.5178865, 1.4141034, 1.3072711, 0.58790672, 0.8350879, 1.3707306, 1.199048, 1.2260435, 1.7931296, 1.4761127, 1.2293652, 1.7081876, 1.8243129, 1.5164211, 1.6816075, 1.761142]"
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk,"[1.5469861, 1.3376483, 1.6530032, 1.5109742, 0.72499573, 1.598132, 1.5121928, 1.5396659, 1.0385617, 0.84656435, 0.8047989, 1.6102803, 1.5784807, 1.4438893, 1.5322577, 1.3722354]"
wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk,"[1.4922264, 1.6624075, 1.2022879, 1.2567687, 1.4842993, 1.5979134, 1.4766644, 0.54928595, 1.3872011, 0.56035942, 0.44156051, 1.3693057, 1.5632972, 1.5959456, 0.82802683, 1.5104083]"
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,"[1.4555328, 0.6766777, 1.5785724, 1.0879693, 0.56832117, 1.6474611, 1.4710177, 1.4557856, 1.6318512, 1.3654723, 1.7284855, 1.3223736, 1.6081713, 1.4486526, 1.6010976, 1.4497011]"
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk,"[1.4209807, 1.5651405, 1.7026203, 1.7301143, 1.6714169, 1.8240454, 1.5014026, 1.0394582, 1.2574426, 1.4882938, 1.079452, 1.3511767, 1.5341977, 1.4069052, 1.5068841, 1.5723878]"
wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk,"[1.6500428, 1.5138551, 1.102072, 1.4165225, 1.5931528, 1.5252517, 1.720486, 1.3749416, 1.6383194, 1.6396424, 1.1749681, 1.5508957, 0.75669992, 1.5159693, 1.6460466, 0.76879358]"
wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk,"[1.5001819, 0.9485926, 1.6041888, 1.6189288, 1.4683681, 1.2275048, 1.6062404, 1.3812894, 1.2065444, 0.82264322, 1.7868687, 0.8140471, 1.6735822, 1.7890978, 1.6078602, 1.4380441]"
wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk,"[1.5242268, 1.3024733, 1.5843139, 0.90360522, 1.3496224, 1.0495785, 1.6072717, 0.83900523, 1.1507814, 1.5725344, 0.76250303, 1.4868498, 1.5243267, 1.8623946, 1.567282, 1.5135349]"
wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk,"[1.4692463, 1.4407643, 1.3903095, 1.3214278, 1.1102306, 1.7733023, 1.6489093, 1.0353637, 1.3016658, 1.2430536, 1.4620204, 1.5289754, 1.6543361, 1.3386934, 1.5098201, 1.5241427]"
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk,"[0.82584465, 1.4223059, 1.46017, 1.3214568, 0.72279853, 1.1897802, 1.5355422, 1.3782327, 1.3529886, 1.3892207, 1.3862571, 0.62598699, 1.6242549, 1.6233996, 1.4744904, 1.4186674]"
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk,"[1.5536102, 1.6478462, 1.4987549, 1.3575515, 1.306253, 1.2323825, 1.5083767, 1.4220849, 1.6385224, 1.5173012, 0.78792351, 1.2903509, 1.6493177, 0.70753676, 1.398833, 1.5280267]"
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk,"[1.80784, 1.5236619, 1.5554249, 1.5112756, 0.73772871, 1.4350295, 0.54419768, 1.4018185, 1.3998756, 1.3415236, 1.5617636, 1.3621664, 1.6805453, 1.5571465, 1.5281888, 1.4625831]"
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk,"[0.84246671, 1.6039567, 1.3914657, 0.75922674, 0.68819755, 1.4009885, 1.5687995, 1.5980603, 1.5917991, 1.4508516, 1.369992, 1.6396009, 1.5623735, 1.4954209, 1.6266065, 1.2260432]"
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk,"[1.6230838, 1.5831282, 1.6151677, 1.8084637, 1.4732879, 1.02153, 1.5444337, 1.6010095, 1.5223306, 1.3735586, 1.1898165, 0.81499016, 1.5148804, 1.0746675, 0.64421785, 1.2473955]"
wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk,"[1.3809963, 1.6557442, 1.5966089, 1.5637518, 1.3953524, 0.8720932, 1.751496, 1.5619179, 1.7021474, 1.3960074, 1.549365, 1.6002765, 1.574132, 1.6250659, 1.7529025, 1.7136297]"
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk,"[1.5883088, 1.3207643, 1.5934786, 1.6934224, 1.6602663, 1.6712395, 0.64053595, 1.5799152, 1.7758435, 1.0179169, 1.4651259, 1.4364346, 1.4091686, 1.2802583, 1.5727224, 0.694116]"
wgEncodeAwgTfbsHaibEcc1EraaV0416102Bpa1hUniPk,"[1.5531731, 1.3071895, 1.8230274, 1.5619309, 1.3831586, 1.3730131, 1.041661, 1.1889222, 1.3465674, 1.4883612, 1.6955414, 1.5754188, 1.3817346, 1.6503171, 1.4632221, 1.4049629]"
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk,"[1.6250111, 1.4476973, 1.5977428, 0.89111435, 1.5067271, 1.3295978, 1.6187787, 1.4162512, 1.5535299, 1.7061807, 1.5301906, 1.6016824, 1.5372975, 1.2924582, 0.88933861, 1.630128]"
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk,"[1.241823, 1.2892035, 1.6317606, 1.5829363, 1.3428519, 1.7389184, 1.6375384, 0.89520097, 1.5106853, 1.6947565, 1.669912, 1.10112, 1.0928681, 1.1802411, 1.193338, 1.2866489]"
wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk,"[1.6263486, 1.4210132, 0.70872325, 1.7669652, 1.5276294, 1.4369974, 0.73478484, 1.1343058, 1.5834085, 1.5964717, 1.4705598, 1.4957901, 1.43002, 1.6409847, 1.5080004, 1.7213144]"
wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk,"[1.0869563, 1.3547359, 1.5474674, 1.7859218, 1.2335324, 1.3710121, 1.4549675, 1.5729901, 1.6388631, 0.83094347, 1.1741177, 1.5359215, 1.5524265, 1.6197587, 1.4856917, 1.471144]"
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk,"[1.6114683, 0.79328191, 1.5491219, 1.5476601, 1.3514912, 0.75521576, 1.3730292, 1.6110449, 1.3437586, 1.4157038, 0.96086448, 1.578002, 1.5726151, 1.6437531, 1.04, 1.2470978]"
wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk,"[0.90044677, 1.2758393, 1.5019032, 1.7428393, 1.641553, 0.49549925, 1.5866548, 1.1526787, 1.4666829, 1.4394611, 1.7058268, 1.6432348, 1.4350737, 1.1426644, 0.65473247, 1.7676541]"
